Epoch	Accuracy	Loss
1	0.502	0.897
2	0.505	0.894
3	0.509	0.891
4	0.512	0.889
5	0.517	0.885
6	0.520	0.881
7	0.522	0.880
8	0.522	0.877
9	0.524	0.874
10	0.529	0.872
11	0.530	0.870
12	0.535	0.867
13	0.538	0.865
14	0.539	0.862
15	0.541	0.860
16	0.542	0.860
17	0.545	0.857
18	0.547	0.857
19	0.550	0.852
20	0.552	0.849
21	0.556	0.846
22	0.561	0.846
23	0.561	0.845
24	0.561	0.841
25	0.566	0.841
26	0.569	0.837
27	0.573	0.835
28	0.576	0.831
29	0.579	0.828
30	0.580	0.827
31	0.582	0.823
32	0.586	0.819
33	0.590	0.815
34	0.592	0.813
35	0.594	0.809
36	0.599	0.804
37	0.601	0.803
38	0.603	0.802
39	0.606	0.800
40	0.607	0.796
41	0.609	0.795
42	0.613	0.790
43	0.615	0.785
44	0.618	0.781
45	0.619	0.779
46	0.620	0.775
47	0.622	0.773
48	0.627	0.772
49	0.628	0.769
50	0.631	0.766
51	0.634	0.763
52	0.638	0.760
53	0.641	0.757
54	0.643	0.755
55	0.644	0.755
56	0.649	0.750
57	0.650	0.748
58	0.654	0.747
59	0.657	0.744
60	0.661	0.743
61	0.665	0.742
62	0.670	0.741
63	0.674	0.740
64	0.679	0.736
65	0.682	0.733
66	0.682	0.733
67	0.683	0.728
68	0.683	0.728
69	0.685	0.727
70	0.685	0.724
71	0.689	0.722
72	0.693	0.719
73	0.697	0.715
74	0.697	0.713
75	0.701	0.709
76	0.704	0.705
77	0.705	0.703
78	0.707	0.699
79	0.710	0.695
80	0.714	0.691
81	0.715	0.687
82	0.715	0.682
83	0.717	0.682
84	0.722	0.681
85	0.725	0.679
86	0.727	0.678
87	0.729	0.676
88	0.732	0.673
89	0.736	0.672
90	0.739	0.672
91	0.742	0.667
92	0.746	0.667
93	0.747	0.663
94	0.749	0.660
95	0.749	0.657
96	0.754	0.653
97	0.754	0.651
98	0.756	0.646
99	0.760	0.645
100	0.762	0.643
